x,y,z
-0.168,-0.073,9.966
-0.146,-0.039,9.99
-0.166,-0.056,9.944
-0.101,-0.068,9.966
-0.163,-0.073,10.007
-0.142,-0.044,9.932
-0.149,-0.054,9.939
-0.142,-0.082,9.973
-0.134,-0.044,9.954
-0.144,-0.111,9.959
-0.146,-0.066,9.978
-0.156,-0.073,9.966
-0.154,-0.13,9.959
-0.151,-0.068,9.98
-0.187,-0.051,9.971
-0.19,-0.097,9.954
-0.127,-0.066,9.944
-0.175,-0.087,9.975
-0.154,-0.068,9.949
-0.125,-0.063,9.944
-0.163,-0.118,9.997
-0.132,-0.085,9.978
-0.146,-0.082,9.947
-0.144,-0.037,9.98
-0.173,-0.087,9.999
-0.154,-0.066,9.949
-2.921,-0.145,12.427
-1.047,0.793,39.687
2.996,0.491,17.101
-0.273,0.185,3.916
-0.628,-0.307,12.52
-1.506,-1.373,13.67
-0.273,-0.171,7.852
0.185,0.807,5.845
-0.522,0.091,13.741
-0.261,-0.547,12.803
-0.175,-0.137,6.365
-0.407,0.029,8.436
-0.331,-0.015,13.54
0.169,-0.154,10.337
-0.022,0.053,6.786
-0.53,-0.061,10.308
-0.221,-0.207,12.571
0.099,-0.128,9.2
-0.19,-0.082,8.149
-0.434,-0.061,10.835
-0.134,0.077,11.082
0.121,-0.063,8.946
-0.173,-0.145,9.554
-0.407,-0.176,11.084
-0.106,-0.066,9.93
0.02,0.089,8.932
-0.261,-0.078,10.22
-0.29,-0.147,10.641
-0.07,-0.099,9.535
-0.096,-0.058,9.619
-0.304,-0.032,10.478
-0.13,-0.049,10.028
-0.027,-0.018,9.396
-0.228,-0.039,10.059
-0.278,-0.137,10.366
-0.103,-0.118,9.777
-0.043,-0.058,9.712
-0.257,-0.054,10.205
-0.24,-0.063,10.03
-0.065,-0.068,9.623
-0.123,-0.044,9.98
-0.254,-0.094,10.248
-0.18,-0.085,9.834
-0.12,-0.068,9.662
-0.125,-0.049,10.095
-0.206,-0.114,10.179
-0.134,-0.078,9.755
-0.161,-0.092,9.815
-0.209,-0.035,10.196
-0.146,-0.063,10.023
-0.091,-0.102,9.719
-0.156,-0.025,9.963
-0.228,-0.073,10.184
-0.163,-0.066,9.889
-0.161,-0.09,9.779
-0.146,-0.051,10.066
-0.178,-0.049,10.09
-0.154,-0.097,9.781
-0.123,-0.023,9.894
-0.17,-0.046,10.145
-0.178,-0.078,10.002
-0.158,-0.102,9.774
-0.137,-0.094,9.968
-0.137,-0.082,10.107
-0.142,-0.051,9.894
-0.17,-0.066,9.858
-0.185,-0.09,10.03
-0.156,-0.068,10.028
-0.118,-0.049,9.877
-0.113,-0.046,9.954
-0.194,-0.085,10.023
-0.146,-0.078,9.951
-0.173,-0.039,9.916
-0.17,-0.051,10.021
-0.173,-0.073,9.992
-0.178,-0.085,9.916
-0.142,-0.073,9.937
-0.19,-0.09,9.985
-0.154,-0.066,9.916
-0.151,-0.063,9.899
-0.182,-0.063,9.939
-0.149,-0.061,9.975
-0.142,-0.09,9.983
-0.158,-0.085,9.961
-0.182,-0.056,9.983
-0.156,-0.063,9.975
-0.139,-0.075,9.951
-0.142,-0.044,9.923
-0.178,-0.09,9.975
-0.175,-0.106,9.971
-0.161,-0.061,9.928
-0.154,-0.027,9.98
-0.173,-0.09,9.985
-0.161,-0.082,9.968
-0.146,-0.109,9.916
-0.192,-0.051,9.951
-0.175,-0.063,9.975
-0.146,-0.063,9.932
-0.154,-0.09,9.923
-0.23,-0.08,9.932
-0.146,-0.082,9.959
-0.185,-0.049,9.928
-0.18,-0.094,9.963
-0.146,-0.082,9.992
-0.17,-0.07,9.887
-0.151,-0.056,9.949
-0.17,-0.054,9.999
-0.154,-0.08,9.923
-0.163,-0.049,9.944
